"district","village","neighborhood","home","male","female","total"
"板橋區","126","2515","237574","266534","285438","551972"
"三重區","119","2564","171362","186866","196426","383292"
"中和區","93","2998","181952","194520","210734","405254"
"永和區","62","1249","95658","100151","112463","212614"
"新莊區","84","1842","176611","204739","217749","422488"
"新店區","69","1482","142900","146359","160627","306986"
"土城區","47","1236","100021","117674","123537","241211"
"蘆洲區","38","727","78626","96245","100985","197230"
"樹林區","42","1039","71636","88254","89719","177973"
"鶯歌區","20","434","36963","44774","44981","89755"
"三峽區","28","608","48704","57381","58068","115449"
"淡水區","42","703","104193","97497","108209","205706"
"汐止區","50","1141","101892","102978","109691","212669"
"瑞芳區","34","426","16313","18169","17834","36003"
"五股區","20","515","40678","46893","47437","94330"
"泰山區","17","466","32070","38243","39691","77934"
"林口區","17","443","60230","66529","71075","137604"
"八里區","10","195","19778","21424","21890","43314"
"深坑區","8","239","10670","11793","11970","23763"
"石碇區","12","107","3332","3789","3145","6934"
"坪林區","7","78","2566","3342","2888","6230"
"三芝區","13","254","10690","11403","10757","22160"
"石門區","9","124","4266","5276","4822","10098"
"金山區","15","201","7659","9805","10046","19851"
"萬里區","10","186","7956","10122","10281","20403"
"平溪區","12","120","2122","2231","1735","3966"
"雙溪區","12","244","3557","4093","3421","7514"
"貢寮區","11","202","4274","5363","5209","10572"
"烏來區","5","43","1911","2997","3141","6138"
